Expression: painstaking work; travail de fourmi
come rain or shine; I will be there for you no matter what happens.; Je serai là pour toi peu importe ce qu'il se passe.
hit the nail on the head; She really hit the nail on the head with that observation.; Elle a vraiment touché dans le mille avec cette observation.
turn a blind eye; The teacher decided to turn a blind eye to the student's minor infraction.; Le professeur a choisi de fermer les yeux sur l'infraction mineure de l'élève.
catch someone red-handed; The police caught the thief red-handed during the robbery.; La police a attrapé le voleur sur le fait pendant le cambriolage.
barking up the wrong tree; You are barking up the wrong tree if you think he will lend you money.; Tu te trompes complètement si tu penses qu'il va te prêter de l'argent.
to let the cat out of the bag; I accidentally let the cat out of the bag about the surprise party.; J'ai accidentellement vendu la mèche sur la fête surprise.
cost an arm and a leg; Buying a new car can cost an arm and a leg these days.; Acheter une nouvelle voiture peut coûter un bras de nos jours.
out of the blue; She received a job offer out of the blue that she couldn't refuse.; Elle a reçu une offre d'emploi à l'improviste qu'elle ne pouvait pas refuser.
the ball is in your court; I've shared all the necessary information, now the ball is in your court.; J'ai partagé toutes les informations nécessaires, maintenant la balle est dans ton camp.

Expression: as a general rule; en règle générale
as a general rule; En règle générale
As a general rule, it is better to be safe than sorry.; En règle générale, il vaut mieux prévenir que guérir.
as luck would have it; Comme par hasard
As luck would have it, it started raining just as we finished our picnic.; Comme par hasard, il s'est mis à pleuvoir juste quand nous avons fini notre pique-nique.
at first glance; À première vue
At first glance, the problem seemed easy to solve, but it turned out to be more complex.; À première vue, le problème semblait facile à résoudre, mais il s'est révélé plus complexe.
for the time being; Pour l'instant
He will be working from home for the time being until the office reopens.; Il travaillera de chez lui pour l'instant jusqu'à ce que le bureau rouvre.
in other words; En d'autres termes
In other words, she wanted to quit her job and start her own business.; En d'autres termes, elle voulait démissionner et démarrer sa propre entreprise.
on the contrary; Au contraire
I thought he would be upset, but on the contrary, he was very understanding.; Je pensais qu'il serait contrarié, mais au contraire, il a été très compréhensif.
by the way; Au fait
By the way, have you heard about the new restaurant that just opened downtown?; Au fait, avez-vous entendu parler du nouveau restaurant qui vient d'ouvrir en centre-ville?
in the long run; À long terme
Eating a balanced diet and exercising regularly will benefit you in the long run.; Suivre un régime équilibré et faire de l'exercice régulièrement vous bénéficiera à long terme.
as a matter of fact; En fait
As a matter of fact, the meeting has been postponed to next week.; En fait, la réunion a été reportée à la semaine prochaine.
for what it's worth; Pour ce que ça vaut
For what it's worth, I think you should go for the blue color instead of the green one.; Pour ce que ça vaut, je pense que tu devrais choisir la couleur bleue au lieu de la verte.

Expression: in general; en règle générale
in general; En général
In general, she prefers to go for a walk in the morning.; En général, elle préfère se promener le matin.
This medicine is safe to use in general, but consult a doctor if you have any concerns.; Ce médicament est généralement sans danger, mais consultez un médecin si vous avez des inquiétudes.
For the most part, I enjoyed the movie, but the ending was disappointing in general.; Pour la plupart, j'ai apprécié le film, mais la fin était décevante en général.
The team performed well in general during the tournament, winning most of their matches.; L'équipe a bien performé en général lors du tournoi, remportant la plupart de leurs matchs.
It is important to exercise regularly in general for good health.; Il est important de faire de l'exercice régulièrement en général pour la santé.
The hotel reviews were positive in general, with guests praising the friendly staff.; Les avis sur l'hôtel étaient positifs en général, les clients saluant le personnel amical.

Expression: as a rule; en règle générale
as a rule; En règle générale
As a rule, I always wake up at 7 am on weekdays.; En règle générale, je me réveille toujours à 7 heures du matin en semaine.

at the eleventh hour; à la dernière minute
He submitted his project at the eleventh hour, but it was still accepted.; Il a soumis son projet à la dernière minute, mais il a quand même été accepté.

back to square one; revenir à la case départ
After the unexpected setback, we had to go back to square one with our plan.; Après ce revers inattendu, nous avons dû revenir à la case départ avec notre plan.

barking up the wrong tree; chercher midi à quatorze heures
If you think I took your keys, you're barking up the wrong tree!; Si tu penses que j'ai pris tes clés, tu cherches midi à quatorze heures !

blessing in disguise; un mal pour un bien
Losing my job turned out to be a blessing in disguise as it led to better opportunities.; Perdre mon travail s'est révélé être un mal pour un bien car cela a ouvert la voie à de meilleures opportunités.

burning the midnight oil; veiller tard
I had to start burning the midnight oil to finish my project before the deadline.; J'ai dû commencer à veiller tard pour finir mon projet avant la date limite.

a storm in a teacup; une tempête dans un verre d'eau
She thought it was a big issue, but really it was just a storm in a teacup.; Elle pensait que c'était un gros problème, mais en réalité c'était une tempête dans un verre d'eau.

hit the nail on the head; taper dans le mille
His analysis of the problem was spot on; he really hit the nail on the head.; Son analyse du problème était exacte; il a vraiment tapé dans le mille.

a chip off the old block; de père en fils
He's just like his father - a real chip off the old block.; Il est comme son père - un vrai de père en fils.

heard it through the grapevine; appris de source sûre
I heard it through the grapevine that they are getting married next month.; J'ai appris de source sûre qu'ils se marient le mois prochain.

Expression: typically; en règle générale
typically; C'est une habitude pour lui de faire du jogging le matin;
typically; En France, on déguste du fromage de chèvre régulièrement;
typically; Les chats dorment environ 16 heures par jour;
typically; La Provence est connue pour son climat ensoleillé;
typically; Il est souvent en retard, c'est typique de lui;
typically; Au Japon, les salutations se font en s'inclinant;
typically; Les italiens prennent leur café très serré;
typically; En hiver, les Scandinaves font du ski de fond;
typically; Les Indiens mangent beaucoup de curry épicé;
typically; Son style vestimentaire est généralement très élégant.

Expression: stick to; en rester à
Staying healthy is important, so I always stick to my regular exercise routine.; Il est important de rester en bonne santé, donc je m'en tiens toujours à ma routine d'exercice régulière.
I try to stick to my budget every month, but sometimes I splurge a little.; J'essaie de respecter mon budget chaque mois, mais parfois je dépense un peu plus.
He promised to stick to the plan, but he changed his mind at the last minute.; Il avait promis de respecter le plan, mais il a changé d'avis à la dernière minute.
Even when things get tough, she always sticks to her principles.; Même quand les choses se compliquent, elle reste toujours fidèle à ses principes.
I prefer to stick to the classics when it comes to fashion trends.; Je préfère m'en tenir aux classiques en matière de tendances de mode.
I will stick to my decision, no matter what others say.; Je vais rester sur ma décision, peu importe ce que les autres disent.
It's important to stick to the schedule if we want to finish the project on time.; Il est important de respecter le calendrier si nous voulons terminer le projet à temps.
She always sticks to her morning routine to start the day off right.; Elle suit toujours sa routine matinale pour bien commencer la journée.
Even though temptations are high, he manages to stick to his diet plan.; Même si les tentations sont fortes, il arrive à rester fidèle à son plan alimentaire.
We need to stick to the original plan; deviating from it will only cause confusion.; Nous devons nous en tenir au plan original ; s'en écarter ne fera qu'apporter de la confusion.

Expression: stick with; en rester à
stick with; stick with
I'll stick with my original decision, no need to change it now.; Je vais rester sur ma décision initiale, pas besoin de la changer maintenant.
I think I'll stick with the vegetarian option for dinner tonight.; Je pense que je vais rester sur l'option végétarienne pour le dîner ce soir.
It can be challenging, but I'll stick with my new workout routine.; Cela peut être difficile, mais je vais m'en tenir à ma nouvelle routine d'entraînement.
Let's stick with the plan and meet at the usual spot.; Restons-en au plan et retrouvons-nous à l'endroit habituel.
Despite the difficulties, she decided to stick with her current job.; Malgré les difficultés, elle a décidé de rester dans son emploi actuel.
I believe we should stick with the traditional way of doing things.; Je crois que nous devrions nous en tenir à la manière traditionnelle de faire les choses.
Are you sure you want to stick with this color for the walls?; Es-tu sûr de vouloir te tenir à cette couleur pour les murs?
It's important to stick with your goals even when it gets tough.; Il est important de rester fidèle à vos objectifs même quand cela devient difficile.
Please stick with the group when we explore the forest.; Veuillez rester avec le groupe lorsque nous explorons la forêt.

Expression: coasting; en roue libre
coasting; Our car glided smoothly down the hill, coasting effortlessly.; Notre voiture descendait en douceur la colline, dévalant sans effort.
coasting; After months of hard work, Sarah was able to coast through the last few weeks of the project.; Après des mois de travail acharné, Sarah a pu avancer sans effort lors des dernières semaines du projet.
coasting; Being an experienced surfer, Mark effortlessly rode the waves, coasting along the shoreline.; Étant un surfeur expérimenté, Mark a surfé les vagues sans effort, longeant le rivage.
coasting; With the wind at their backs, the sailboat was coasting gracefully across the serene waters.; Avec le vent dans leur dos, le voilier descendait élégamment sur les eaux calmes.
coasting; Lisa had studied so hard that she was able to coast through the final exam with ease.; Lisa avait tellement étudié qu'elle a pu avancer sans effort à travers l'examen final.
coasting; The experienced skier effortlessly navigated down the slope, coasting past beginners.; Le skieur expérimenté a navigué sans effort sur la pente, dépassant les débutants.
coasting; Sarah felt like she was coasting through life, effortlessly achieving one success after another.; Sarah avait l'impression de naviguer sans effort dans la vie, réalisant facilement un succès après l'autre.
coasting; The cyclist pedaled downhill effortlessly, coasting at high speed.; Le cycliste pédalait en descente sans effort, dévalant à grande vitesse.
coasting; Due to his exceptional talent, David was able to coast through auditions effortlessly.; Grâce à son talent exceptionnel, David a pu passer les auditions sans effort.
coasting; After the hard part of the project was completed, the team was able to coast through the final stages.; Après la réalisation de la partie difficile du projet, l'équipe a pu avancer sans effort à travers les étapes finales.

Expression: freewheeling; en roue libre
freewheeling;She has a freewheeling personality and loves spontaneous road trips.;Elle a une personnalité décontractée et adore partir en road trip sur un coup de tête.
freewheeling;The company's freewheeling culture encourages creativity and innovation.;La culture décontractée de l'entreprise encourage la créativité et l'innovation.
freewheeling;They spent the weekend freewheeling through the countryside on their bicycles.;Ils ont passé le week-end à parcourir la campagne à vélo en toute liberté.
freewheeling;After years of strict rules, he finally experienced the joy of a freewheeling retirement.;Après des années de règles strictes, il a enfin découvert la joie d'une retraite sans contraintes.
freewheeling;The artist's freewheeling approach to painting resulted in a unique and vibrant style.;L'approche décontractée de l'artiste en matière de peinture a donné naissance à un style unique et vibrant.
freewheeling;She thrives in a freewheeling work environment where creativity is valued.;Elle s'épanouit dans un environnement de travail décontracté où la créativité est valorisée.
freewheeling;The conversation took a freewheeling turn, covering a wide range of topics.;La conversation a pris une tournure décontractée, abordant un large éventail de sujets.
freewheeling;His freewheeling attitude often lands him in trouble, but he never regrets it.;Son attitude décontractée le met souvent dans des ennuis, mais il ne le regrette jamais.
freewheeling;They enjoyed a freewheeling summer vacation, exploring new places and trying new things.;Ils ont passé des vacances d'été décontractées, explorant de nouveaux endroits et essayant de nouvelles choses.
freewheeling;The band's music is a freewheeling mix of different genres, creating a unique sound.;La musique du groupe est un mélange décontracté de différents genres, créant un son unique.

Expression: freewheel; en roue libre
I'm sorry, but I am unable to provide the translation for the expression "freewheel" in this context as it does not directly translate to French. Would you like me to provide translations for a different expression?

Expression: in any case; en tout état de cause
in any case; In any case, we should be prepared for all possible scenarios.; En tout cas, nous devrions être préparés à toutes les éventualités.
hit the nail on the head; She really hit the nail on the head with her analysis of the situation.; Elle a vraiment touché juste avec son analyse de la situation.
break the ice; Playing a fun game is a great way to break the ice at a party.; Jouer à un jeu amusant est un excellent moyen de briser la glace lors d'une fête.
call it a day; It's been a long day, let's call it a day and relax for the evening.; C'est été une longue journée, appelons ça une journée et relaxons pour la soirée.
out of the blue; The news came out of the blue, I didn't expect it at all.; La nouvelle est arrivée comme un cheveu sur la soupe, je ne m'y attendais pas du tout.
rain or shine; The event will go on, rain or shine, so make sure to be prepared for any weather.; L'événement aura lieu, qu'il pleuve ou qu'il fasse beau, alors assurez-vous d'être prêt pour n'importe quel temps.
a blessing in disguise; Losing that job turned out to be a blessing in disguise, as I found a better opportunity afterward.; Perdre ce travail s'est avéré être une bénédiction déguisée, car j'ai trouvé une meilleure opportunité par la suite.
speak of the devil; I was just talking about him, and there he is - speak of the devil!; Je venais de parler de lui et le voilà - quand on parle du loup!
the ball is in your court; I've done my part, now the ball is in your court to make a decision.; J'ai fait ma part, maintenant la balle est dans ton camp pour prendre une décision.

Expression: in detail; en long et en large
He explained the process in detail, covering every step thoroughly.; Il a expliqué le processus en détail, couvrant chaque étape minutieusement.
She described the painting in detail, pointing out every brushstroke and color choice.; Elle a décrit le tableau en détail, soulignant chaque coup de pinceau et choix de couleur.
The architect presented the building plans in detail, including floor layouts and exterior features.; L'architecte a présenté les plans du bâtiment en détail, y compris les agencements des étages et les caractéristiques extérieures.
The professor discussed the theory in detail, providing historical context and key examples.; Le professeur a discuté de la théorie en détail, en fournissant un contexte historique et des exemples clés.
The chef explained the recipe in detail, listing all the ingredients and cooking steps.; Le chef a expliqué la recette en détail, en énumérant tous les ingrédients et les étapes de cuisson.
The tour guide described the city's history in detail, delving into significant events and figures.; Le guide touristique a décrit l'histoire de la ville en détail, en abordant les événements et les figures importantes.
The scientist analyzed the data in detail, examining each data point for patterns and trends.; Le scientifique a analysé les données en détail, examinant chaque point de données pour repérer des motifs et des tendances.
The document outlined the project plan in detail, specifying timelines and deliverables.; Le document a exposé le plan du projet en détail, en spécifiant les échéances et les livrables.
She wrote the report in detail, ensuring to include all relevant information and findings.; Elle a rédigé le rapport en détail, veillant à inclure toutes les informations pertinentes et les conclusions.
He discussed the proposal in detail, addressing concerns and potential impacts.; Il a discuté de la proposition en détail, abordant les préoccupations et les impacts potentiels.

Expression: at all events; en tout état de cause
at all events; en tout cas
I will be there at all events, rain or shine.; Je serai là en tout cas, qu'il pleuve ou qu'il fasse beau.

at all costs; à tout prix
He was determined to win the game at all costs.; Il était déterminé à gagner le match à tout prix.

all of a sudden; tout à coup
All of a sudden, the lights went out in the middle of the concert.; Tout à coup, les lumières se sont éteintes en plein milieu du concert.

by all means; par tous les moyens
You must try to finish your project by all means necessary.; Tu dois essayer de terminer ton projet par tous les moyens nécessaires.

by all accounts; selon toutes les apparences
By all accounts, she appears to be the most qualified candidate for the job.; Selon toutes les apparences, elle semble être la candidate la plus qualifiée pour le poste.

after all; après tout
After all, he was right about the best way to solve the problem.; Après tout, il avait raison sur la meilleure façon de résoudre le problème.

above all; avant tout
Above all, remember to be kind to others in all circumstances.; Avant tout, souviens-toi d'être gentil envers les autres en toutes circonstances.

once and for all; une bonne fois pour toutes
Let's settle this argument once and for all.; Réglons cette dispute une bonne fois pour toutes.

first of all; tout d'abord
First of all, let's review the instructions before beginning the experiment.; Tout d'abord, revoyons les instructions avant de commencer l'expérience.

all in all; dans l'ensemble
Despite a few setbacks, the project was a success all in all.; Malgré quelques contretemps, le projet a été un succès dans l'ensemble.

Expression: in all cases; en tout état de cause
in all cases; In all cases, safety should be the top priority.; En tous les cas, la sécurité doit être la priorité absolue.
a drop in the ocean; Donating a few cans of food is like a drop in the ocean when it comes to fighting hunger.; Faire don de quelques boîtes de nourriture, c'est une goutte d'eau dans l'océan quand il s'agit de lutter contre la faim.
hit the nail on the head; Sarah hit the nail on the head with her analysis of the situation.; Sarah a mis le doigt sur le bobo avec son analyse de la situation.
barking up the wrong tree; If you think I took your phone, you're barking up the wrong tree.; Si tu crois que j'ai pris ton téléphone, tu te trompes complètement.
a piece of cake; Finding a parking spot downtown on a Saturday is never a piece of cake.; Trouver une place de parking en centre-ville un samedi n'est jamais un jeu d'enfant.
the ball is in your court; I've given you all the information you need, so now the ball is in your court.; Je t'ai donné toutes les informations dont tu as besoin, alors maintenant la balle est dans ton camp.
let the cat out of the bag; Sarah accidentally let the cat out of the bag about the surprise party.; Sarah a accidentellement vendu la mèche concernant la fête surprise.
burning the midnight oil; I have a big presentation tomorrow, so I'll be burning the midnight oil tonight.; J'ai une grosse présentation demain, donc je vais veiller tard ce soir.
call it a day; We've been working non-stop for hours, let's call it a day and continue tomorrow.; On a travaillé sans relâche pendant des heures, appelons ça une journée et reprenons demain.
add insult to injury; Not only did they cancel my flight, but they also lost my luggage - talk about adding insult to injury!; Non seulement ils ont annulé mon vol, mais ils ont aussi perdu mes bagages - parler d'enfoncer le clou.

Expression: at any rate; en tout état de cause
at any rate; At any rate, we need to make a decision soon.; En tout état de cause, nous devons prendre une décision rapidement.
by the way; By the way, did you remember to send the email?; Au fait, avez-vous pensé à envoyer l'email ?
once in a blue moon; Once in a blue moon, I treat myself to an extravagant dessert.; De temps en temps, je me fais plaisir avec un dessert extravagant.
make up your mind; Please make up your mind before we move forward with the project.; Veuillez prendre une décision avant que nous ne continuions avec le projet.
out of the blue; Out of the blue, I received a job offer from a company I had never applied to.; Sans crier gare, j'ai reçu une offre d'emploi d'une entreprise à laquelle je n'avais jamais postulé.
in the nick of time; He arrived in the nick of time to catch the last train.; Il est arrivé juste à temps pour attraper le dernier train.
on cloud nine; Winning the competition put her on cloud nine for days.; Sa victoire dans la compétition l'a mise sur un petit nuage pendant des jours.
take it easy; It's the weekend, so let's just take it easy and relax.; C'est le week-end, alors prenons les choses tranquilles et relaxons.
by the skin of your teeth; He passed the exam by the skin of his teeth, scoring just enough to pass.; Il a réussi l'examen de justesse, obtenant juste ce qu'il fallait pour réussir.
under the weather; I'm feeling a bit under the weather today, so I might not be very productive.; Je ne me sens pas très bien aujourd'hui, alors je risque de ne pas être très productif.

Expression: in full; en toutes lettres
The movie was shown in full on the big screen.; Le film a été diffusé dans son intégralité sur grand écran.
The article was published in full in the newspaper.; L'article a été publié en entier dans le journal.

She recounted the story in full detail.; Elle a raconté toute l'histoire en détail.
The book was translated into French in full.; Le livre a été traduit en entier en français.

He paid the amount in full with cash.; Il a payé le montant en totalité en espèces.
The bill was settled in full before the deadline.; La facture a été réglée intégralement avant la date limite.

The concert was recorded in full for future broadcast.; Le concert a été enregistré en entier pour une diffusion ultérieure.
The speech was delivered in full with great emotion.; Le discours a été prononcé en intégralité avec beaucoup d'émotion.

His speech was quoted in full in the article.; Son discours a été cité en entier dans l'article.
The agreement was signed in full by all parties involved.; L'accord a été signé en totalité par toutes les parties impliquées.

Expression: in words; en toutes lettres
time flies; le temps passe vite
I can't believe it's already December, time flies when you're having fun!; Je n'arrive pas à croire que nous sommes déjà en décembre, le temps passe vite quand on s'amuse !
break a leg; bonne chance
You're going to do great in your audition, break a leg!; Tu vas bien te débrouiller à ton audition, bonne chance!
hit the nail on the head; toucher dans le mille
She hit the nail on the head with her analysis of the situation.; Elle a touché dans le mille avec son analyse de la situation.
burn the midnight oil; veiller tard
I had to burn the midnight oil to finish the project before the deadline.; J'ai dû veiller tard pour terminer le projet avant la date limite.
rain cats and dogs; pleuvoir des cordes
It was raining cats and dogs all day, I got completely soaked!; Il pleuvait des cordes toute la journée, je me suis complètement trempé !
cost an arm and a leg; coûter les yeux de la tête
The designer handbag she wanted cost an arm and a leg, so she decided not to buy it.; Le sac à main de designer qu'elle voulait coûtait les yeux de la tête, alors elle a décidé de ne pas l'acheter.
speak of the devil; quand on parle du loup
Speak of the devil, and he shall appear - here comes Sarah now!; Quand on parle du loup, on en voit la queue - voilà Sarah qui arrive maintenant !
butter someone up; passer de la pommade à quelqu'un
He's trying to butter up the boss so he can get a promotion.; Il essaie de passer de la pommade au patron pour obtenir une promotion.

Expression: in black and white; en toutes lettres
The old photograph was in black and white, capturing a moment frozen in time.; La vieille photographie était en noir et blanc, capturant un instant figé dans le temps.
The contract was presented in black and white, leaving no room for misinterpretation.; Le contrat était présenté en noir et blanc, ne laissant aucune place à l'interprétation.
The documentary footage was shot in black and white, giving it a timeless quality.; Les images du documentaire étaient tournées en noir et blanc, leur conférant une qualité intemporelle.
The crime scene photos were printed in black and white, enhancing the stark reality of the situation.; Les photos de la scène de crime étaient imprimées en noir et blanc, renforçant la réalité crue de la situation.
The dress code specified attire in black and white only, creating a sophisticated and uniform look.; Le code vestimentaire spécifiait une tenue en noir et blanc uniquement, créant un look sophistiqué et uniforme.
The artist's sketch was done in black and white, focusing solely on the play of light and shadow.; Le croquis de l'artiste était réalisé en noir et blanc, se concentrant uniquement sur le jeu de lumière et d'ombre.
The vintage movie was filmed in black and white, evoking a sense of nostalgia for a bygone era.; Le film vintage était tourné en noir et blanc, évoquant un sentiment de nostalgie pour une époque révolue.
The textbook illustrations were in black and white, providing clear visual aids for the students.; Les illustrations du manuel étaient en noir et blanc, fournissant des aides visuelles claires pour les étudiants.
The historic documents were preserved in black and white, maintaining their original appearance for future generations to appreciate.; Les documents historiques étaient conservés en noir et blanc, préservant leur apparence originale pour que les générations futures les apprécient.

Expression: in letters; en toutes lettres
scene and unseen; la scène et l'invisible
The magic show had a mix of scene and unseen acts that left the audience amazed.; Le spectacle de magie comportait un mélange de scène et d'actes invisibles qui ont émerveillé le public.

time and again; fois et encore
She had told him time and again about the importance of punctuality, but he still arrived late.; Elle lui avait dit fois et encore l'importance de la ponctualité, mais il est arrivé en retard.

safe and sound; sain et sauf
The hikers were relieved to be back home safe and sound after surviving a dangerous storm.; Les randonneurs étaient soulagés d'être rentrés chez eux sains et saufs après avoir survécu à une tempête dangereuse.

up and down; de haut en bas
The elevator went up and down the tall building, stopping at each floor.; L'ascenseur allait de haut en bas du grand immeuble, s'arrêtant à chaque étage.

far and wide; loin et large
The news of the rare bird sighting spread far and wide, attracting birdwatchers from different countries.; La nouvelle de l'observation d'un oiseau rare s'est répandue loin et large, attirant des ornithologues de différents pays.

high and low; haut et bas
They searched high and low for the missing keys, looking in every possible place.; Ils ont cherché haut et bas les clés manquantes, regardant dans tous les endroits possibles.

first and foremost; avant tout
In his speech, the speaker emphasized the need for education first and foremost to tackle societal issues.; Dans son discours, le conférencier a insisté sur la nécessité de l'éducation avant tout pour aborder les problèmes sociaux.

peace and quiet; paix et tranquillité
She cherished the moments of peace and quiet in her garden, away from the hustle and bustle of the city.; Elle chérissait les moments de paix et de tranquillité dans son jardin, loin de l'agitation de la ville.

trial and error; essai et erreur
The engineer followed a process of trial and error to perfect the design of the new machine.; L'ingénieur a suivi un processus d'essai et d'erreur pour perfectionner la conception de la nouvelle machine.

loud and clear; fort et clair
The speaker's message came across loud and clear, resonating with the audience.; Le message du conférencier est passé fort et clair, faisant écho auprès du public.

Expression: in a word; en un mot
in a word; en un mot
To describe him in a word, I would say he is ambitious.; Pour le décrire en un mot, je dirais qu'il est ambitieux.
The movie was disappointing, in a word.; Le film était décevant, en un mot.
The situation was chaotic, in a word.; La situation était chaotique, en un mot.
My vacation was incredible, in a word.; Mes vacances étaient incroyables, en un mot.
In a word, the presentation was outstanding.; En un mot, la présentation était remarquable.
In a word, the dessert was delicious.; En un mot, le dessert était délicieux.
The weather was unpredictable, in a word.; La météo était imprévisible, en un mot.
In a word, the performance was mesmerizing.; En un mot, la performance était captivante.
In a word, the experience was unforgettable.; En un mot, l'expérience était inoubliable.

Expression: in short; en un mot
In short; En bref
The meeting was long and unproductive. In short, we didn't accomplish anything.; La réunion était longue et peu productive. En bref, nous n'avons rien accompli.
In short; En un mot
To describe the book in short, it was captivating.; Pour décrire le livre en un mot, il était captivant.
In short; Pour résumer
The project was ambitious and challenging. In short, it was a huge success.; Le projet était ambitieux et stimulant. Pour résumer, c'était un énorme succès.
In short; Pour faire court
The explanation given was confusing and lengthy. To make it short, the problem was not resolved.; L'explication donnée était confuse et longue. Pour faire court, le problème n'a pas été résolu.
In short; En résumé
The journey was full of surprises and excitement. En résumé, it was an unforgettable experience.; Le voyage a été plein de surprises et d'excitation. En résumé, c'était une expérience inoubliable.
In short; Bref
The movie was a mix of action and drama. Bref, it had something for everyone.; Le film était un mélange d'action et de drame. Bref, il y en avait pour tous les goûts.
In short; Pour conclure
The seminar covered various topics, but to conclude, it was quite informative.; Le séminaire a abordé divers sujets, mais pour conclure, c'était très instructif.
In short; En somme
The decision to move forward was unanimous. En somme, everyone agreed on the next steps.; La décision d'avancer était unanime. En somme, tout le monde était d'accord sur les prochaines étapes.
In short; En clair
The instructions were unclear at first, but en clair, we managed to complete the task.; Les instructions étaient peu claires au début, mais en clair, nous avons réussi à terminer la tâche.
In short; Bref
The presentation was detailed and comprehensive, but bref, it was too long.; La présentation était détaillée et complète, mais bref, elle était trop longue.

Expression: in a nutshell; en un mot
in a nutshell; en un mot
To sum it up in a nutshell, the project was a success.; Pour résumer en un mot, le projet a été un succès.
The trip in a nutshell was adventurous and unforgettable.; Le voyage en un mot était aventureux et inoubliable.

in a nutshell; en résumé
The book, in a nutshell, emphasizes the importance of self-acceptance.; Le livre, en résumé, met l'accent sur l'importance de l'acceptation de soi.
Her presentation, in a nutshell, highlighted the key points of the research.; Sa présentation, en résumé, a mis en lumière les points clés de la recherche.

in a nutshell; en bref
To put it in a nutshell, the company's future looks promising.; En bref, l'avenir de l'entreprise semble prometteur.
The movie, in a nutshell, is a heartwarming story of love and friendship.; Le film, en bref, est une histoire émouvante d'amour et d'amitié.

in a nutshell; en quelques mots
He described his job responsibilities in a nutshell during the interview.; Il a décrit ses responsabilités professionnelles en quelques mots lors de l'entretien.
The recipe, in a nutshell, calls for fresh ingredients and simple cooking techniques.; La recette, en quelques mots, demande des ingrédients frais et des techniques de cuisine simples.

Expression: generally; en règle générale
Generally; En général
Generally, I prefer to start work early in the morning.; En général, je préfère commencer le travail tôt le matin.

For the most part; Dans l'ensemble
For the most part, I enjoy living in the city.; Dans l'ensemble, j'apprécie de vivre en ville.

In general; En règle générale
In general, cats are independent animals.; En règle générale, les chats sont des animaux indépendants.

Usually; Habituellement
I usually go for a walk after dinner.; J'habitude, je fais une promenade après le dîner.

As a rule; En règle générale
As a rule, we turn off all electronic devices before going to bed.; En règle générale, nous éteignons tous les appareils électroniques avant d'aller au lit.

Typically; En général
Typically, I like to have a cup of tea in the afternoon.; En général, j'aime prendre une tasse de thé dans l'après-midi.

By and large; Dans l'ensemble
By and large, the meeting went well.; Dans l'ensemble, la réunion s'est bien passée.

As a general rule; En règle générale
As a general rule, it's important to exercise regularly.; En règle générale, il est important de faire de l'exercice régulièrement.

In broad terms; En termes généraux
In broad terms, the project is on track.; En termes généraux, le projet avance bien.

Broadly speaking; En gros
Broadly speaking, the market is showing positive signs.; En gros, le marché montre des signes positifs.

Expression: at great length; en long et en large
He explained the process at great length, leaving no room for confusion.; Il a expliqué le processus en long et en large, ne laissant aucune place à la confusion.
The professor discussed the topic at great length during the lecture.; Le professeur a discuté du sujet en long et en large lors de la conférence.
She talked about her trip at great length, sharing every detail with excitement.; Elle a parlé de son voyage en long et en large, partageant chaque détail avec enthousiasme.
I described the book plot at great length to my friend, trying not to give away the ending.; J'ai décrit l'intrigue du livre en long et en large à mon ami, essayant de ne pas révéler la fin.
They debated the issue at great length, considering every perspective before making a decision.; Ils ont débattu de la question en long et en large, envisageant chaque perspective avant de prendre une décision.
The team analyzed the data at great length, searching for any patterns or anomalies.; L'équipe a analysé les données en long et en large, recherchant tout schéma ou anomalie.
The detective questioned the suspect at great length, trying to uncover the truth.; Le détective a interrogé le suspect en long et en large, essayant de découvrir la vérité.
In her speech, she addressed the topic at great length, providing extensive background information.; Dans son discours, elle a abordé le sujet en long et en large, fournissant des informations détaillées.
He described the movie plot at great length, spoiling the surprise for those who hadn't seen it yet.; Il a décrit l'intrigue du film en long et en large, gâchant la surprise pour ceux qui ne l'avaient pas encore vu.
During the meeting, they discussed the proposal at great length, analyzing its pros and cons.; Lors de la réunion, ils ont discuté de la proposition en long et en large, analysant ses avantages et inconvénients.

Expression: straight to the point; droit au but
Driving with him is always direct and straight to the point; Conduire avec lui est toujours direct et sans détour.
They appreciate his approach in meetings - he goes straight to the point; Ils apprécient son approche en réunion - il va droit au but.
Her emails are always concise and straight to the point; Ses e-mails sont toujours concis et sans détour.
The boss prefers employees who are straight to the point in their communication; Le patron préfère les employés directs dans leur communication.
When giving feedback, it's better to be straight to the point; Quand on donne des retours, il vaut mieux être direct.
In negotiations, it's important to be straight to the point; Dans les négociations, il est important d'être direct.
She doesn't beat around the bush; she goes straight to the point; Elle ne tourne pas autour du pot, elle va droit au but.
His approach to problem-solving is always straightforward; Son approche de résolution de problèmes est toujours directe.
Being straight to the point can save a lot of time; Être direct peut faire gagner beaucoup de temps.
Their report was lauded for being concise and straight to the point; Leur rapport a été salué pour son caractère concis et direct.

Expression: saw-toothed; en dents de scie
Her saw-toothed grin reflected mischief in her eyes; Son sourire en dents de scie reflétait la malice dans ses yeux.
The mountains exhibited a saw-toothed profile against the sky; Les montagnes arboraient un profil en dents de scie contre le ciel.
He sharpened the saw-toothed blade before beginning the woodwork; Il aiguisa la lame en dents de scie avant de commencer le travail du bois.
